Source Name,RA J2000 Degs,Dec J2000 Degs,standard,v7l3h,v7.7l,v6m
1A 0535+262,84.727,26.316,1,1,1,0
1A 0620-00,95.685,-0.346,1,0,1,0
1A 1246-588,192.415,-59.087,1,0,1,0
1A 1742-294,266.523,-29.515,1,0,1,0
1A 1744-361,267.055,-36.133,1,1,0,0
1E 1145.1-6141,176.869,-61.954,1,0,1,0
1E 1547.0-5408,237.725,-54.307,1,0,1,0
1E 1841-045,280.331,-4.936,1,0,1,0
1ES 0033+595,8.969,59.835,1,0,1,0
1ES 0120+340,20.786,34.347,1,0,1,0
1ES 0414+009,64.218,1.09,1,0,1,0
1ES 0502+675,76.985,67.623,1,0,1,0
1ES 0647+25.0,102.694,25.05,1,0,1,0
1ES 1011+496,153.767,49.434,1,0,1,0
1ES 1101-232,165.906,-23.492,1,0,1,0
1ES 1218+304,185.341,30.177,1,0,1,0
1ES 1426+428,217.136,42.672,1,0,1,0
1ES 1959+650,299.999,65.149,1,0,1,0
1ES 2321+419,350.969,42.182,1,0,1,0
1H 0419-577,66.503,-57.2,1,0,1,0
1H 0918-548,140.112,-55.207,1,0,1,0
1H 1556-605,240.26,-60.738,1,0,1,0
1H 1934-063,294.388,-6.218,1,0,1,0
1RXS J180408.9-342058,271.038,-34.349,1,1,1,0
1RXS J213623.1-622400,324.096,-62.4,1,0,1,0
2FGL J1931.1+0938,292.791,9.618,1,1,1,0
2MASX J00341665-7905204,8.569,-79.089,1,0,1,0
2MASX J09594263-3112581,149.928,-31.216,1,0,1,0
2MASX J11454045-1827149,176.419,-18.454,1,0,1,0
2MASX J14104482-4228325,212.687,-42.476,1,0,1,0
2MASX J16115141-6037549,242.964,-60.632,1,0,1,0
2MASX J21383340+3205060,324.639,32.085,1,0,1,0
2S 0921-63,140.647,-63.294,1,0,1,0
2S 1417-624,215.303,-62.698,1,1,1,0
3C 111,64.589,38.027,1,0,1,0
3C 120,68.296,5.354,1,0,1,0
3C 129,72.288,45.011,1,0,1,0
3C 273,187.278,2.052,1,1,1,0
3C 279,194.047,-5.789,1,0,1,0
3C 382,278.764,32.696,1,0,1,0
3C 390.3,280.537,79.771,1,0,1,0
3C 454.3,343.491,16.148,1,0,1,0
3C 66A,35.665,43.035,1,0,1,0
4C +18.51,265.529,18.456,1,0,1,0
4C +74.26,310.655,75.134,1,0,1,0
4C 09.57,267.887,9.65,1,0,1,0
4C 38.41,248.815,38.135,1,0,1,0
4C 4.42,185.594,4.221,1,0,1,0
4C 50.55,321.079,51.113,1,0,1,0
4U 0114+65,19.511,65.292,1,0,1,0
4U 0115+63,19.633,63.74,1,1,1,0
4U 0142+61,26.593,61.751,1,0,1,0
4U 0513-40,78.528,-40.044,1,1,1,0
4U 0728-25,112.223,-26.108,1,0,1,0
4U 0923-31,141.05,-31.67,1,1,1,0
4U 1036-56,159.397,-56.799,1,0,1,0
4U 1210-64,183.45,-64.838,1,0,1,0
4U 1254-690,194.405,-69.289,1,0,1,0
4U 1323-619,201.65,-62.136,1,0,1,0
4U 1344-60,206.9,-60.618,1,0,1,0
4U 1538-52,235.597,-52.386,1,1,1,0
4U 1543-475,236.786,-47.669,1,1,1,0
4U 1543-624,236.978,-62.568,1,0,1,0
4U 1608-52,243.179,-52.423,1,1,1,0
4U 1624-490,247.012,-49.199,1,0,1,0
4U 1626-67,248.07,-67.462,1,0,1,0
4U 1630-472,248.502,-47.394,1,1,1,0
4U 1700+24,256.644,23.972,1,1,1,0
4U 1705-32,257.226,-32.333,1,1,1,0
4U 1705-440,257.227,-44.102,1,0,1,0
4U 1708-40,258.099,-40.843,1,0,1,0
4U 1711-34,258.58,-34.049,1,0,1,0
4U 1730-22,263.49,-22.032,1,1,1,0
4U 1746-37,267.553,-37.052,1,0,1,0
4U 1755-338,269.667,-33.807,1,1,1,0
4U 1822-371,276.445,-37.105,1,0,1,0
4U 1850-086,283.27,-8.706,1,0,1,0
4U 1901+03,285.905,3.192,1,0,1,0
4U 1907+09,287.408,9.83,1,1,1,0
4U 1909+07,287.7,7.596,1,1,1,0
4U 1916-053,289.699,-5.236,1,0,1,0
4U 1954+319,298.926,32.097,1,0,1,0
4U 1957+115,299.851,11.71,1,0,1,0
4U 2129+47,322.859,47.29,1,1,0,0
4U 2206+543,331.981,54.52,1,0,1,0
4U 2238+60,339.837,61.274,1,0,1,0
ACO 3391,96.564,-53.681,1,0,1,0
AM Her,274.056,49.868,1,0,1,0
AO Psc,343.825,-3.178,1,0,1,0
AP Lib,229.424,-24.372,1,0,1,0
AR Psc,20.736,7.419,1,1,1,0
AT 2019wey,68.847,55.376,1,1,1,0
AT Mic,310.463,-32.435,1,1,1,0
Abell 119,14.07,-1.25,1,0,1,0
Abell 1795,207.252,26.585,1,0,1,0
Abell 2029,227.745,5.762,1,0,1,0
Abell 2147,240.572,15.895,1,0,1,0
