Row,Source Name,RA J2000 Degs,Dec J2000 Degs,Alternate Name,Source Type,Today#,Yesterday#,Tenday#,Mean*,Peak*,Days*,Last Day*
1,QSO B0003-066,1.55789,-6.39315,NRAO 005,BL Lac,-,-,-,-,-,-,-
2,PSR J0007+7303,1.75600,73.0520,0FGL J0007.4+7303,Pulsar,-,-,-,0,62,4,58107 ( 2074)
3,QSO B0007+107,2.62919,10.9749,Mrk 1501,Sy1,-,-,-,0,0,1,1 (    0)
4,QSO B0016+73,4.94078,73.4583,,Quasar,-,-,-,0,0,3,1 (    0)
5,IGR J00234+6141,5.74000,61.6850,V1033 Cas,CV,-,-,-,0,0,5,1 (    0)
6,NGC 104,6.02400,72.0810,0FGL J0025.1-7202,Globular cluster,-,-,-,-,-,-,-
7,V709 Cas,7.20362,59.2894,RX J0028.8+5917,CV/DQ Her,-,-,-,4,32,14,53785 ( 6396)
8,IGR J00291+5934,7.26300,59.5720,IGR00291+5934,LMXB,-,-,-,0,54,12,57228 ( 2953)
9,PSR J0030+0451,7.61400,4.86100,0FGL J0030.3+0450,Pulsar,-,-,-,0,0,1,1 (    0)
10,2CG 121+04,8.00000,66.8000,1CG 121+03,Gamma-ray source,-,-,10 ( 3.4),0,0,1,1 (    0)
11,KUV 00311-1938,8.39300,-19.3590,0FGL J0033.6-1921,BL Lac,-,24 ( 2.2),-,-,-,-,-
12,V826 Cas,8.76146,61.3173,,Variable star,41 ( 2.5),-,7 ( 2.4),0,0,1,1 (    0)
13,QSO B0033+595,8.96929,59.8346,1ES 0033+595,BL Lac,-,-,-,2,31,15,56554 ( 3627)
14,IGR J00370+6122,9.29000,61.3600,BD +60 73,HMXB/NS,-,-,-,0,41,28,54553 ( 5628)
15,CXOM31 004211.37+41042551,10.5470,41.0740,NULL,NULL,-,-,-,0,0,4,1 (    0)
16,NGC 235,10.7200,-23.5410,NULL,Sy1,-,25 ( 2.4),10 ( 2.5),1,0,1,1 (    0)
17,Zeta And,11.8346,24.2672,NULL,Beta Lyra binary,-,-,14 ( 3.1),0,43,3,53785 ( 6396)
18,NGC 253,11.9000,-25.2830,,Sy,-,-,-,-,-,-,-
19,NGC 262,12.1964,31.9570,Mrk 348,Sy2,-,-,14 ( 3.4),5,0,14,1 (    0)
20,XTE J0055-727,12.2980,-72.8270,MACHO 208.15911.13,HMXB,-,-,-,0,0,1,1 (    0)
21,QSO B0048-09,12.6722,-9.48478,,BL Lac,-,-,-,-,-,-,-
22,PKS 0048-071,12.7840,-6.83400,0FGL J0051.1-0647,Quasar,-,-,-,-,-,-,-
23,Mrk 1148,12.9780,17.4330,NULL,Sy1,-,-,-,-,-,-,-
24,SMC X-3,13.0250,-72.4330,,HMXB,-,-,-,1,100,64,57629 ( 2552)
25,RX J0052.1-7319,13.0921,-73.3181,2E 0050.4-733,HMXB,-,-,-,0,0,4,1 (    0)
26,CF Tuc,13.2825,-74.6517,NULL,RS CVn,-,-,-,0,155,6,60036 (  145)
27,SMC X-2,13.6508,-73.6760,NULL,NULL,-,-,-,0,31,14,57292 ( 2889)
28,Gam Cas,14.1772,60.7167,4U 0054+60,Star/Be,-,-,6 ( 2.1),5,65,20,53806 ( 6375)
29,IGR J00569-7226,14.2600,-72.4320,NULL,NULL,-,-,4 ( 2.1),-,-,-,-
30,RX J0059.2-7138,14.8030,-71.6460,NULL,NULL,-,-,-,0,0,15,1 (    0)
31,PMN J0100+0745,15.0860,7.76300,0FGL J0100.2+0750,Radio source,-,-,-,0,0,2,1 (    0)
32,RX J0101.8-7223,15.4680,-72.3910,NULL,HMXB,-,-,-,0,0,1,1 (    0)
33,7C 0059+5808,15.6907,58.4031,,Blazar,-,-,-,0,0,3,1 (    0)
34,IGR J01054-7253,16.1760,-72.9010,NULL,HMXB/NS,-,-,-,0,0,2,1 (    0)
35,4C 01.02,17.1615,1.58342,,Quasar,-,-,-,0,0,3,1 (    0)
36,Fermi J0109+6134,17.4450,61.5580,NULL,Gamma-ray source,-,22 ( 2.0),7 ( 2.2),0,0,4,1 (    0)
37,QSO B0109+224,18.0243,22.7441,,BL Lac,-,-,-,-,-,-,-
38,4C 31.03,18.2100,32.1380,NULL,Quasar,-,32 ( 2.0),-,0,0,2,1 (    0)
39,NGC 454,18.5955,-55.3988,SWIFT J0114.4-5522,Sy2,-,-,-,-,-,-,-
