source_name,ra,dec,maxi_found,n_maxi_bands,swift_match,swift_sep_arcsec,n_swift_bands,n_xray_bands,has_outburst,ztf_found,ztf_oid,n_ztf_bands,atlas_found,n_atlas_bands,n_optical_bands,classification
1A 0535+262,84.727,26.316,True,2,,,0,2,True,False,,0,,0,0,Bronze
1A 0620-00,95.685,-0.346,True,2,,,0,2,True,True,ZTF18acszzdo,2,False,0,2,Gold
1A 1246-588,192.415,-59.087,True,2,4U 1246-58,1.8494493393129188,0,2,True,False,,0,False,0,0,Bronze
1A 1742-294,266.523,-29.515,True,2,1A 1742-294,3.1328162998357967,0,2,True,False,,0,,0,0,Bronze
1A 1744-361,267.055,-36.133,True,2,,,0,2,True,False,,0,,0,0,Bronze
1E 1145.1-6141,176.869,-61.954,True,2,1E 1145.1-6141,0.0,0,2,True,False,,0,False,0,0,Bronze
1E 1547.0-5408,237.725,-54.307,True,2,1E 1547.0-5408,2.1003911722072997,0,2,True,False,,0,False,0,0,Bronze
1E 1841-045,280.331,-4.936,True,2,Kes 73,0.0,0,2,True,False,,0,,0,0,Bronze
1ES 0033+595,8.969,59.835,True,2,QSO B0033+595,1.5325828142300455,0,2,True,True,ZTF19abgzjrh,2,False,0,2,Gold
1ES 0120+340,20.786,34.347,True,2,1ES 0120+34.0,3.600000000001636,0,2,True,True,ZTF19acymgje,2,False,0,2,Gold
1ES 0414+009,64.218,1.09,True,2,,,0,2,True,True,ZTF18acrvucs,3,False,0,3,Gold
1ES 0502+675,76.985,67.623,True,2,QSO B0502+675,1.211167593824794,0,2,True,True,ZTF18abvfkym,2,False,0,2,Gold
1ES 0647+25.0,102.694,25.05,True,2,QSO B0647+250,0.0,0,2,True,True,ZTF17aadptpa,3,False,0,3,Gold
1ES 1011+496,153.767,49.434,True,2,QSO B1011+496,1.7999999999952545,0,2,True,True,ZTF21aallzke,2,False,0,2,Gold
1ES 1101-232,165.906,-23.492,True,2,1A 1059-22,3.4737727955454902,0,2,True,True,ZTF23aabpgop,2,False,0,2,Gold
1ES 1218+304,185.341,30.177,True,2,QSO B1218+304,0.0,0,2,True,True,ZTF18aajmiqk,2,False,0,2,Gold
1ES 1426+428,217.136,42.672,True,2,H 1426+428,3.6000000000130865,0,2,True,True,ZTF21aaqpvak,2,False,0,2,Gold
1ES 1959+650,299.999,65.149,True,2,1ES 1959+650,0.0,0,2,True,True,ZTF19admoxqs,1,False,0,1,Silver
1ES 2321+419,350.969,42.182,True,2,2E 2321.4+4154,0.3600000000381744,0,2,True,False,,0,,0,0,Bronze
1H 0419-577,66.503,-57.2,True,2,1H 0419-577,2.2378275033233073,0,2,True,False,,0,False,0,0,Bronze
1H 0918-548,140.112,-55.207,True,2,,,0,2,True,False,,0,False,0,0,Bronze
1H 1556-605,240.26,-60.738,True,2,,,0,2,True,False,,0,False,0,0,Bronze
1H 1934-063,294.388,-6.218,True,2,,,0,2,True,True,ZTF20abfmuzx,1,False,0,1,Silver
1RXS J180408.9-342058,271.038,-34.349,True,2,1RXS J180408.9-342058,1.4400000000148137,0,2,True,False,,0,,0,0,Bronze
1RXS J213623.1-622400,324.096,-62.4,True,2,,,0,2,True,False,,0,False,0,0,Bronze
2FGL J1931.1+0938,292.791,9.618,True,2,,,0,2,True,False,,0,,0,0,Bronze
2MASX J00341665-7905204,8.569,-79.089,True,2,,,0,2,True,False,,0,False,0,0,Bronze
2MASX J09594263-3112581,149.928,-31.216,True,2,,,0,2,True,False,,0,,0,0,Bronze
2MASX J11454045-1827149,176.419,-18.454,True,2,1A 1143-18,0.0,0,2,True,True,ZTF22aabaxbk,2,False,0,2,Gold
2MASX J14104482-4228325,212.687,-42.476,True,2,,,0,2,True,False,,0,,0,0,Bronze
2MASX J16115141-6037549,242.964,-60.632,True,2,,,0,2,True,False,,0,False,0,0,Bronze
2MASX J21383340+3205060,324.639,32.085,True,2,,,0,2,True,True,ZTF18abmjija,2,False,0,2,Gold
2S 0921-63,140.647,-63.294,True,2,,,0,2,True,False,,0,False,0,0,Bronze
2S 1417-624,215.303,-62.698,True,2,H 1417-624,4.953750185747037,0,2,True,False,,0,False,0,0,Bronze
3C 111,64.589,38.027,True,2,3C 111,0.0,0,2,True,True,ZTF18accjszy,2,False,0,2,Gold
3C 120,68.296,5.354,True,2,3C 120,0.0,0,2,True,True,ZTF19abwudrd,1,False,0,1,Silver
3C 129,72.288,45.011,True,2,,,0,2,True,False,,0,,0,0,Bronze
3C 273,187.278,2.052,True,2,3C 273,0.0,0,2,True,True,ZTF20aaywnna,2,False,0,2,Gold
3C 279,194.047,-5.789,True,2,3C 279,0.0,0,2,True,True,ZTF21abbytqq,1,False,0,1,Silver
3C 382,278.764,32.696,True,2,4C 32.55,1.4399999999804638,0,2,True,True,ZTF18aamieiy,3,False,0,3,Gold
3C 390.3,280.537,79.771,True,2,3C 390.3,0.0,0,2,True,True,ZTF18abobryy,2,False,0,2,Gold
3C 454.3,343.491,16.148,True,2,3C 454.3,3.45796737992833,1,3,True,True,ZTF18adnclbq,2,False,0,2,Gold
3C 66A,35.665,43.035,True,2,3C 66A,1.8191318470073,0,2,True,True,ZTF19adnfizi,1,False,0,1,Silver
4C +18.51,265.529,18.456,True,2,,,0,2,True,True,ZTF19acozpaa,2,False,0,2,Gold
4C +74.26,310.655,75.134,True,2,4C 74.26,0.0,0,2,True,True,ZTF23aazjygo,1,False,0,1,Silver
4C 09.57,267.887,9.65,True,2,4C 09.57,0.7199999999915704,0,2,True,True,ZTF24aawhboa,2,False,0,2,Gold
4C 38.41,248.815,38.135,True,2,4C 38.41,1.4400000000033637,0,2,True,True,ZTF18aabtuel,3,False,0,3,Gold
4C 4.42,185.594,4.221,True,2,4C 04.42,0.1799999999989811,0,2,True,True,ZTF21aautwzo,3,False,0,3,Gold
4C 50.55,321.079,51.113,True,2,,,0,2,True,False,,0,,0,0,Bronze
4U 0114+65,19.511,65.292,True,2,3A 0114+650,1.47111374868842,0,2,True,False,,0,,0,0,Bronze
4U 0115+63,19.633,63.74,True,2,,,0,2,True,False,,0,,0,0,Bronze
4U 0142+61,26.593,61.751,True,2,PSR J0146+61,0.770793788003232,0,2,True,False,,0,,0,0,Bronze
4U 0513-40,78.528,-40.044,True,2,,,0,2,True,False,,0,,0,0,Bronze
4U 0728-25,112.223,-26.108,True,2,4U 0728-25,0.3600000000152744,0,2,True,False,,0,False,0,0,Bronze
4U 0923-31,141.05,-31.67,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1036-56,159.397,-56.799,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1210-64,183.45,-64.838,True,2,4U 1210-64,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1254-690,194.405,-69.289,True,2,H 1254-690,3.81850767836426,0,2,True,False,,0,False,0,0,Bronze
4U 1323-619,201.65,-62.136,True,2,4U 1323-619,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1344-60,206.9,-60.618,True,2,1A 1343-60,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1538-52,235.597,-52.386,True,2,H 1538-522,0.0,1,3,True,False,,0,False,0,0,Bronze
4U 1543-475,236.786,-47.669,True,2,4U 1543-47,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1543-624,236.978,-62.568,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1608-52,243.179,-52.423,True,2,H 1608-522,0.0,1,3,True,False,,0,False,0,0,Bronze
4U 1624-490,247.012,-49.199,True,2,4U 1624-490,1.7999999999952545,0,2,True,False,,0,,0,0,Bronze
4U 1626-67,248.07,-67.462,True,2,4U 1626-67,4.139597752839747,0,2,True,False,,0,False,0,0,Bronze
4U 1630-472,248.502,-47.394,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1700+24,256.644,23.972,True,2,4U 1700+24,0.7199999999972952,0,2,True,False,,0,False,0,0,Bronze
4U 1705-32,257.226,-32.333,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1705-440,257.227,-44.102,True,2,,,0,2,False,False,,0,False,0,0,Bronze
4U 1708-40,258.099,-40.843,True,2,4U 1708-40,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1711-34,258.58,-34.049,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1730-22,263.49,-22.032,True,2,,,0,2,True,True,ZTF21abgbrck,2,False,0,2,Gold
4U 1746-37,267.553,-37.052,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1755-338,269.667,-33.807,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1822-371,276.445,-37.105,True,2,4U 1822-371,1.0800000000158596,0,2,True,False,,0,False,0,0,Bronze
4U 1850-086,283.27,-8.706,True,2,4U 1850-087,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1901+03,285.905,3.192,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1907+09,287.408,9.83,True,2,H 1907+097,0.0,0,2,True,True,ZTF25aaeumpl,1,False,0,1,Silver
4U 1909+07,287.7,7.596,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1916-053,289.699,-5.236,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 1954+319,298.926,32.097,True,2,4U 1954+31,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 1957+115,299.851,11.71,True,2,4U 1957+115,3.6000000000073613,0,2,True,False,,0,False,0,0,Bronze
4U 2129+47,322.859,47.29,True,2,XB 2129+470,0.0,0,2,True,False,,0,False,0,0,Bronze
4U 2206+543,331.981,54.52,True,2,,,0,2,True,False,,0,False,0,0,Bronze
4U 2238+60,339.837,61.274,True,2,,,0,2,True,True,ZTF19acjufva,1,False,0,1,Silver
ACO 3391,96.564,-53.681,True,2,,,0,2,True,False,,0,False,0,0,Bronze
AM Her,274.056,49.868,True,2,AM Her,2.3203826710626996,0,2,True,True,ZTF19aanvjhb,2,False,0,2,Gold
AO Psc,343.825,-3.178,True,2,AO Psc,0.0,0,2,True,True,ZTF24aatszsw,1,False,0,1,Silver
AP Lib,229.424,-24.372,True,2,QSO B1514-241,0.0,0,2,True,True,ZTF19aardope,3,False,0,3,Gold
AR Psc,20.736,7.419,True,2,HD 8357,2.5727535054024826,1,3,True,False,,0,False,0,0,Bronze
AT 2019wey,68.847,55.376,True,2,,,0,2,True,True,ZTF19acwrvzk,2,False,0,2,Gold
AT Mic,310.463,-32.435,True,2,AT Mic,1.0799999999700596,1,3,True,False,,0,False,0,0,Bronze
Abell 119,14.07,-1.25,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 1795,207.252,26.585,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 2029,227.745,5.762,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 2147,240.572,15.895,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 262,28.21,36.146,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 3266,67.822,-61.458,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 3395,96.88,-54.399,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 3667,303.13,-56.83,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 401,44.737,13.582,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 478,63.336,10.476,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 496,68.4,-13.3,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 644,124.352,-7.513,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Abell 754,137.15,-9.63,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Agl J2241+4454,340.739,44.722,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Algol,47.042,40.958,True,2,,,0,2,True,False,,0,False,0,0,Bronze
Antares,247.352,-26.432,True,2,,,0,2,True,False,,0,False,0,0,Bronze
